Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
"Daniel A.M., Persson L., Sandorf E.D.","57202216998;36507533800;57189696602;","Accounting for elimination-by-aspects strategies and demand management in electricity contract choice",2018,"Energy Economics","73",,,"80","90",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047459958&doi=10.1016%2fj.eneco.2018.05.009&partnerID=40&md5=46ab14267713be011ed09c86d0250a66",Article,Scopus,2-s2.0-85047459958
"Bujosa A., Torres C., Riera A.","57200722718;37103066200;36657697800;","Framing Decisions in Uncertain Scenarios: An Analysis of Tourist Preferences in the Face of Global Warming",2018,"Ecological Economics","148",,,"36","42",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042326210&doi=10.1016%2fj.ecolecon.2018.02.003&partnerID=40&md5=f110231156fcba9182d5482397d518a8",Article,Scopus,2-s2.0-85042326210
"Soliño M., Oviedo J.L., Caparrós A.","25629068500;16029644800;55581674300;","Are forest landowners ready for woody energy crops? Preferences for afforestation programs in Southern Spain",2018,"Energy Economics","73",,,"239","247",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047598057&doi=10.1016%2fj.eneco.2018.05.026&partnerID=40&md5=c18b9cff2d92c5026b31164f196c303c",Article,Scopus,2-s2.0-85047598057
"Paltriguera L., Ferrini S., Luisetti T., Turner R.K.","55209974100;16401152200;26026032800;56976998000;","An analysis and valuation of post-designation management aimed at maximising recreational benefits in coastal Marine Protected Areas",2018,"Ecological Economics","148",,,"121","130",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042635117&doi=10.1016%2fj.ecolecon.2018.02.011&partnerID=40&md5=37f2279a8408bc6cbe3bfbd79a21d3eb",Article,Scopus,2-s2.0-85042635117
"Eggert H., Kataria M., Lampi E.","7006132452;26648777400;6507663510;","Who can be trusted to manage the fish? A study comparing trust between stakeholders",2018,"Land Economics","94","3",,"354","367",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049160539&doi=10.3368%2fle.94.3.354&partnerID=40&md5=cd6571db5b98daf74547cf3c058906bd",Article,Scopus,2-s2.0-85049160539
"Lutzeyer S., Phaneuf D.J., Taylor L.O.","55370638600;35567283400;55422801200;","The amenity costs of offshore wind farms: Evidence from a choice experiment",2018,"Energy Economics","72",,,"621","639",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047094631&doi=10.1016%2fj.eneco.2018.03.020&partnerID=40&md5=5877a6e40a224da8796577adf7d3dce6",Article,Scopus,2-s2.0-85047094631
"Logar I., Brouwer R.","26321783200;7102772121;","Substitution effects and spatial preference heterogeneity in single- and multiple-site choice experiments",2018,"Land Economics","94","2",,"302","322",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046797917&doi=10.3368%2fle.94.2.302&partnerID=40&md5=5cd706f94e261c84bd804cc983d4fac9",Article,Scopus,2-s2.0-85046797917
"Aravena C., George Hutchinson W., Carlsson F., Matthews D.I.","44560947900;56880338500;7006565467;21743032300;","Testing preference formation in learning design contingent valuation using advance information and repetitive treatments",2018,"Land Economics","94","2",,"284","301",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046800090&doi=10.3368%2fle.94.2.284&partnerID=40&md5=8b33060ba70897e7a56f625e077a4a63",Article,Scopus,2-s2.0-85046800090
"Kjær T., Nielsen J.S., Hole A.R.","12807516500;35729181600;15845400300;","An investigation into procedural (in)variance in the valuation of mortality risk reductions",2018,"Journal of Environmental Economics and Management","89",,,"278","284",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046157384&doi=10.1016%2fj.jeem.2018.04.004&partnerID=40&md5=b91c423e63b0dbe4f08f297b707c9eda",Article,Scopus,2-s2.0-85046157384
"Bakhtiari F., Jacobsen J.B., Thorsen B.J., Lundhede T.H., Strange N., Boman M.","57190345107;35773326500;6701749452;15848753300;6602735313;7004708562;","Disentangling Distance and Country Effects on the Value of Conservation across National Borders",2018,"Ecological Economics","147",,,"11","20",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044376829&doi=10.1016%2fj.ecolecon.2017.12.019&partnerID=40&md5=8dca48afdaedc63b609563b2ba756468",Article,Scopus,2-s2.0-85044376829
"Subroy V., Rogers A.A., Kragt M.E.","55343737100;55622369400;26422995100;","To Bait or Not to Bait: A Discrete Choice Experiment on Public Preferences for Native Wildlife and Conservation Management in Western Australia",2018,"Ecological Economics","147",,,"114","122",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044347863&doi=10.1016%2fj.ecolecon.2017.12.031&partnerID=40&md5=fc0b27f8c79d4f68027b195416d509a8",Article,Scopus,2-s2.0-85044347863
"Richter L.-L., Pollitt M.G.","57190888780;6603597830;","Which smart electricity service contracts will consumers accept? The demand for compensation in a platform market",2018,"Energy Economics","72",,,"436","450",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046703688&doi=10.1016%2fj.eneco.2018.04.004&partnerID=40&md5=1c0655f9aa865b3edeaea271a047b3a1",Article,Scopus,2-s2.0-85046703688
"Brown Z.S., Kramer R.A.","36683869000;7401737419;","Preference Heterogeneity in the Structural Estimation of Efficient Pigovian Incentives for Insecticide Spraying to Reduce Malaria",2018,"Environmental and Resource Economics","70","1",,"169","190",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009827344&doi=10.1007%2fs10640-017-0115-x&partnerID=40&md5=0e4d7a0055f011a9b0802658531fc732",Article,Scopus,2-s2.0-85009827344
"Rid W., Haider W., Ryffel A., Beardmore A.B.","37009943700;7005836896;55914940700;57197709134;","Visualisations in Choice Experiments: Comparing 3D Film-sequences and Still-images to Analyse Housing Development Alternatives",2018,"Ecological Economics","146",,,"203","217",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034020526&doi=10.1016%2fj.ecolecon.2017.10.019&partnerID=40&md5=abbdc2e485b6151f6dfee93eb72a09cd",Article,Scopus,2-s2.0-85034020526
"Hansen K., Duke E., Bond C., Purcell M., Paige G.","24070524500;55901655800;7101620294;57196465309;7004252580;","Rancher Preferences for a Payment for Ecosystem Services Program in Southwestern Wyoming",2018,"Ecological Economics","146",,,"240","249",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033465234&doi=10.1016%2fj.ecolecon.2017.10.013&partnerID=40&md5=e94a2f39213943ed5088793e8c6ceb20",Article,Scopus,2-s2.0-85033465234
"Wakamatsu M., Shin K.J., Wilson C., Managi S.","57192682054;57188654636;7404894763;13609873900;","Exploring a Gap between Australia and Japan in the Economic Valuation of Whale Conservation",2018,"Ecological Economics","146",,,"397","407",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037051605&doi=10.1016%2fj.ecolecon.2017.12.002&partnerID=40&md5=6334e545c30e0791cb7b8f33289907d6",Article,Scopus,2-s2.0-85037051605
"Malone T., Lusk J.L.","57191330600;7004997535;","Consequences of Participant Inattention with an Application to Carbon Taxes for Meat Products",2018,"Ecological Economics","145",,,"218","230",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033441166&doi=10.1016%2fj.ecolecon.2017.09.010&partnerID=40&md5=bfe481d090ff1f6893951b32cbd78e46",Article,Scopus,2-s2.0-85033441166
"Campbell D., Mørkbak M.R., Olsen S.B.","56857858800;34873153600;20535258800;","The link between response time and preference, variance and processing heterogeneity in stated choice experiments",2018,"Journal of Environmental Economics and Management","88",,,"18","34",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034113958&doi=10.1016%2fj.jeem.2017.10.003&partnerID=40&md5=5320badd9897e7d5d1fcd8c1c1db3fe3",Article,Scopus,2-s2.0-85034113958
"Bithas K., Latinopoulos D., Kolimenakis A., Richardson C.","6507747243;11939964500;57006797300;16067358300;","Social Benefits From Controlling Invasive Asian Tiger and Native Mosquitoes: A Stated Preference Study in Athens, Greece",2018,"Ecological Economics","145",,,"46","56",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034027139&doi=10.1016%2fj.ecolecon.2017.08.017&partnerID=40&md5=c4a204659b886b3e135b100d9484b6a8",Article,Scopus,2-s2.0-85034027139
"Petrolia D.R., Interis M.G., Hwang J.","13103470800;37088550800;56447529600;","Single-Choice, Repeated-Choice, and Best-Worst Scaling Elicitation Formats: Do Results Differ and by How Much?",2018,"Environmental and Resource Economics","69","2",,"365","393",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994742162&doi=10.1007%2fs10640-016-0083-6&partnerID=40&md5=421e0b5ff1e545f33dfbb73981d97665",Article,Scopus,2-s2.0-84994742162
"Alberini A., Bigano A., Ščasný M., Zvěřinová I.","6701713403;6507141274;57195376392;55345747500;","Preferences for Energy Efficiency vs. Renewables: What Is the Willingness to Pay to Reduce CO2 Emissions?",2018,"Ecological Economics","144",,,"171","185",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027498592&doi=10.1016%2fj.ecolecon.2017.08.009&partnerID=40&md5=7edcd03843287c8a0b0dd62864f9c0b2",Article,Scopus,2-s2.0-85027498592
"Caputo V., Lusk J.L., Nayga R.M., Jr.","48261045000;7004997535;7003839193;","Choice experiments are not conducted in a vacuum: The effects of external price information on choice behavior",2018,"Journal of Economic Behavior and Organization","145",,,"335","351",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037617556&doi=10.1016%2fj.jebo.2017.11.018&partnerID=40&md5=58017ff218a4c0e529a2526303d8fffe",Article,Scopus,2-s2.0-85037617556
"Balcombe K., Fraser I., Williams L., McSorley E.","6701753683;55753411600;57192676509;6603506530;","Examining the relationship between visual attention and stated preferences: A discrete choice experiment using eye-tracking",2017,"Journal of Economic Behavior and Organization","144",,,"238","257",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033473800&doi=10.1016%2fj.jebo.2017.09.023&partnerID=40&md5=ce827f4c00b5a7797422cab6dd703321",Article,Scopus,2-s2.0-85033473800
"Hanley N., Boyce C., Czajkowski M., Tucker S., Noussair C., Townsend M.","7005750378;35091071800;26655387000;55286171200;6701537658;19934356800;","Sad or Happy? The Effects of Emotions on Stated Preferences for Environmental Goods",2017,"Environmental and Resource Economics","68","4",,"821","846",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978645929&doi=10.1007%2fs10640-016-0048-9&partnerID=40&md5=b5284129ebeadcf27f5597e6aceb6e04",Article,Scopus,2-s2.0-84978645929
"Le Coent P., Préget R., Thoyer S.","57200903091;9637228000;56100523100;","Compensating Environmental Losses Versus Creating Environmental Gains: Implications for Biodiversity Offsets",2017,"Ecological Economics","142",,,"120","129",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021319570&doi=10.1016%2fj.ecolecon.2017.06.008&partnerID=40&md5=f6c3dff5aeaa7933683a1e99266c8b8d",Article,Scopus,2-s2.0-85021319570
"Bronnmann J., Asche F.","57044852300;55904477400;","Sustainable Seafood From Aquaculture and Wild Fisheries: Insights From a Discrete Choice Experiment in Germany",2017,"Ecological Economics","142",,,"113","119",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021773341&doi=10.1016%2fj.ecolecon.2017.06.005&partnerID=40&md5=b8439ae83e460d82adf634edcdbfb818",Article,Scopus,2-s2.0-85021773341
"Brouwer R., Logar I., Sheremet O.","7102772121;26321783200;25957766500;","Choice Consistency and Preference Stability in Test-Retests of Discrete Choice Experiment and Open-Ended Willingness to Pay Elicitation Formats",2017,"Environmental and Resource Economics","68","3",,"729","751",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978112677&doi=10.1007%2fs10640-016-0045-z&partnerID=40&md5=e727e502a02ad63e09b29154626475d6",Article,Scopus,2-s2.0-84978112677
"Vorlaufer T., Falk T., Dufhues T., Kirk M.","57194413870;26321472100;6506971293;55436612700;","Payments for ecosystem services and agricultural intensification: Evidence from a choice experiment on deforestation in Zambia",2017,"Ecological Economics","141",,,"95","105",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019995384&doi=10.1016%2fj.ecolecon.2017.05.024&partnerID=40&md5=5358087caaadb170a692210c819fa81c",Article,Scopus,2-s2.0-85019995384
"Czajkowski M., Budziński W., Campbell D., Giergiczny M., Hanley N.","26655387000;56580207600;56857858800;23466937000;7005750378;","Spatial Heterogeneity of Willingness to Pay for Forest Management",2017,"Environmental and Resource Economics","68","3",,"705","727",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978152381&doi=10.1007%2fs10640-016-0044-0&partnerID=40&md5=32ead6aadadfd04a7b9066834e8f3047",Article,Scopus,2-s2.0-84978152381
"Price J., Dupont D., Adamowicz W.","55973174800;7007035120;7003604078;","As Time Goes By: Examination of Temporal Stability Across Stated Preference Question Formats",2017,"Environmental and Resource Economics","68","3",,"643","662",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973621852&doi=10.1007%2fs10640-016-0039-x&partnerID=40&md5=4cf07b0abf98027eee2883dc74d2e515",Article,Scopus,2-s2.0-84973621852
"Galassi V., Madlener R.","57194416161;6603207185;","The Role of Environmental Concern and Comfort Expectations in Energy Retrofit Decisions",2017,"Ecological Economics","141",,,"53","65",,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019981400&doi=10.1016%2fj.ecolecon.2017.05.021&partnerID=40&md5=306b2cad504e7499099a0886a54b311d",Article,Scopus,2-s2.0-85019981400
"Filyushkina A., Agimass F., Lundhede T., Strange N., Jacobsen J.B.","56845766100;51863218400;15848753300;6602735313;35773326500;","Preferences for variation in forest characteristics: Does diversity between stands matter?",2017,"Ecological Economics","140",,,"22","29",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018782229&doi=10.1016%2fj.ecolecon.2017.04.010&partnerID=40&md5=df9a9d749cebe70c181c5f9032e1c9a6",Article,Scopus,2-s2.0-85018782229
"Diafas I., Barkmann J., Mburu J.","55931346500;57108781500;8633630700;","Measurement of Bequest Value Using a Non-monetary Payment in a Choice Experiment—The Case of Improving Forest Ecosystem Services for the Benefit of Local Communities in Rural Kenya",2017,"Ecological Economics","140",,,"157","165",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019145344&doi=10.1016%2fj.ecolecon.2017.05.006&partnerID=40&md5=6fe1fa8db8b6daa6f1b960e2775c760c",Article,Scopus,2-s2.0-85019145344
"Czajkowski M., Vossler C.A., Budziński W., Wiśniewska A., Zawojska E.","26655387000;6602985643;56580207600;57193769759;56946928100;","Addressing empirical challenges related to the incentive compatibility of stated preferences methods",2017,"Journal of Economic Behavior and Organization","142",,,"47","63",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026474357&doi=10.1016%2fj.jebo.2017.07.023&partnerID=40&md5=1e687e769de56ecd6bc2db1d4075768a",Article,Scopus,2-s2.0-85026474357
"Holland B.M., Johnston R.J.","57191981382;7403679025;","Optimized quantity-within-distance models of spatial welfare heterogeneity",2017,"Journal of Environmental Economics and Management","85",,,"110","129",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019227828&doi=10.1016%2fj.jeem.2017.04.006&partnerID=40&md5=a8113e57c01a248371bf2357e729d577",Article,Scopus,2-s2.0-85019227828
"Carattini S., Baranzini A., Thalmann P., Varone F., Vöhringer F.","56798659100;16404462100;55979799500;7801421758;6602232006;","Green Taxes in a Post-Paris World: Are Millions of Nays Inevitable?",2017,"Environmental and Resource Economics","68","1",,"97","128",,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015836161&doi=10.1007%2fs10640-017-0133-8&partnerID=40&md5=cc6c9ab450655dab6f4009ef5803b8bc",Article,Scopus,2-s2.0-85015836161
"Matthews Y., Scarpa R., Marsh D.","57191895327;7101679887;24379665300;","Stability of Willingness-to-Pay for Coastal Management: A Choice Experiment Across Three Time Periods",2017,"Ecological Economics","138",,,"64","73",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016309493&doi=10.1016%2fj.ecolecon.2017.03.031&partnerID=40&md5=6f19053282655c7789477ac00f0d8694",Article,Scopus,2-s2.0-85016309493
"Kreye M.M., Pienaar E.F., Soto J.R., Adams D.C.","56205102300;55587553100;57072675900;26533764200;","Creating voluntary payment programs: Effective program design and ranchers' willingness to conserve florida panther habitat",2017,"Land Economics","93","3",,"459","480",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025632176&doi=10.3368%2fle.93.3.459&partnerID=40&md5=ed310ccc76223091594b35f49a708e31",Article,Scopus,2-s2.0-85025632176
"Randrianarison H., Ramiaramanana J., Wätzold F.","57192252989;57193830345;55113349600;","When to Pay? Adjusting the Timing of Payments in PES Design to the Needs of Poor Land-users",2017,"Ecological Economics","138",,,"168","177",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017017616&doi=10.1016%2fj.ecolecon.2017.03.040&partnerID=40&md5=c878c40457c5258926b47e05a9344cdb",Article,Scopus,2-s2.0-85017017616
"Bartczak A., Chilton S., Czajkowski M., Meyerhoff J.","24330556000;7003327172;26655387000;12784168600;","Gain and loss of money in a choice experiment. The impact of financial loss aversion and risk preferences on willingness to pay to avoid renewable energy externalities",2017,"Energy Economics","65",,,"326","334",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019998541&doi=10.1016%2fj.eneco.2017.04.020&partnerID=40&md5=bac76787d6a2a0d796e1909d19191f26",Article,Scopus,2-s2.0-85019998541
"Sawe N.","24391415300;","Using neuroeconomics to understand environmental valuation",2017,"Ecological Economics","135",,,"1","9",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010457833&doi=10.1016%2fj.ecolecon.2016.12.018&partnerID=40&md5=1d974fe33aa76cf8daa18a0f156a8fb3",Article,Scopus,2-s2.0-85010457833
"Boeri M., Longo A.","49662814500;14630752700;","The importance of regret minimization in the choice for renewable energy programmes: Evidence from a discrete choice experiment",2017,"Energy Economics","63",,,"253","260",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015280305&doi=10.1016%2fj.eneco.2017.03.005&partnerID=40&md5=4cb0b6d880863cceadfabe29da557718",Article,Scopus,2-s2.0-85015280305
"Krucien N., Ryan M., Hermens F.","39962034400;7403185259;6603194458;","Visual attention in multi-attributes choices: What can eye-tracking tell us?",2017,"Journal of Economic Behavior and Organization","135",,,"251","267",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014094434&doi=10.1016%2fj.jebo.2017.01.018&partnerID=40&md5=215c0dfbebec31163f2ea9e3b78f518b",Article,Scopus,2-s2.0-85014094434
"Xue L., Sitzia S., Turocy T.L.","57193434586;26667234300;9250789900;","Mathematics self-confidence and the “prepayment effect” in riskless choices",2017,"Journal of Economic Behavior and Organization","135",,,"239","250",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013977309&doi=10.1016%2fj.jebo.2017.01.014&partnerID=40&md5=a83afa37ccc1434aad33e51be0fecb97",Article,Scopus,2-s2.0-85013977309
"Nordén A., Coria J., Jönsson A.M., Lagergren F., Lehsten V.","56228625300;26635096800;57195541020;6507649684;15044978000;","Divergence in stakeholders' preferences: Evidence from a choice experiment on forest landscapes preferences in Sweden",2017,"Ecological Economics","132",,,"179","195",,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994525962&doi=10.1016%2fj.ecolecon.2016.09.032&partnerID=40&md5=4ec923a11e0e20208bc01ed5adc4850e",Article,Scopus,2-s2.0-84994525962
"Matthews Y., Scarpa R., Marsh D.","57191895327;7101679887;24379665300;","Using virtual environments to improve the realism of choice experiments: A case study about coastal erosion management",2017,"Journal of Environmental Economics and Management","81",,,"193","208",,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994552738&doi=10.1016%2fj.jeem.2016.08.001&partnerID=40&md5=083c0eb0e583c9530467315e35fff26d",Article,Scopus,2-s2.0-84994552738
"Oehlmann M., Meyerhoff J., Mariel P., Weller P.","56197363200;12784168600;6603591242;56197288100;","Uncovering context-induced status quo effects in choice experiments",2017,"Journal of Environmental Economics and Management","81",,,"59","73",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989182987&doi=10.1016%2fj.jeem.2016.09.002&partnerID=40&md5=0969e8d6f3d57ab5a4dec6b669072e72",Article,Scopus,2-s2.0-84989182987
"Lew D.K., Wallmo K.","26663757100;6506522559;","Temporal stability of stated preferences for endangered species protection from choice experiments",2017,"Ecological Economics","131",,,"87","97",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989933975&doi=10.1016%2fj.ecolecon.2016.08.009&partnerID=40&md5=0917eb0592d358c8108ade938ba85eab",Article,Scopus,2-s2.0-84989933975
"De Valck J., Broekx S., Liekens I., Aertsens J., Vranken L.","56115858500;22984162600;22985699700;26025900900;6507218210;","Testing the Influence of Substitute Sites in Nature Valuation by Using Spatial Discounting Factors",2017,"Environmental and Resource Economics","66","1",,"17","43",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931079902&doi=10.1007%2fs10640-015-9930-0&partnerID=40&md5=db1f11e16ad94dd679406de7b3aa3edb",Article,Scopus,2-s2.0-84931079902
"Waldman K.B., Ortega D.L., Richardson R.B., Snapp S.S.","36646825100;36706564400;8717993700;7003330545;","Estimating demand for perennial pigeon pea in Malawi using choice experiments",2017,"Ecological Economics","131",,,"222","230",,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988020126&doi=10.1016%2fj.ecolecon.2016.09.006&partnerID=40&md5=69eff73df6ff7cea1e8c22bf98a2c467",Article,Scopus,2-s2.0-84988020126
"Ito N., Kuriyama K.","35181343500;34969242900;","Averting behaviors of very small radiation exposure via food consumption after the Fukushima nuclear power station accident",2017,"American Journal of Agricultural Economics","99","1",,"55","72",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014825377&doi=10.1093%2fajae%2faaw078&partnerID=40&md5=71ab3f88e66b8664e7d58ebdc0a4ea02",Article,Scopus,2-s2.0-85014825377
"Torres C., Faccioli M., Riera Font A.","37103066200;40461426500;56442659600;","Waiting or acting now? The effect on willingness-to-pay of delivering inherent uncertainty information in choice experiments",2017,"Ecological Economics","131",,,"231","240",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987988917&doi=10.1016%2fj.ecolecon.2016.09.001&partnerID=40&md5=1ad6e1e66d0d8ecdc59d79424767e8e8",Article,Scopus,2-s2.0-84987988917
